"a1","a2","a3","a4","a5","a6","a7","a8","Class"
54,70,-88,35,-40,80,-42,-80,"FALSE"
-72,-9,-67,40,8,-54,57,89,"FALSE"
27,8,-90,-5,63,-28,56,-28,"FALSE"
27,-45,16,-9,-21,-4,31,-10,"TRUE"
6,79,76,61,-95,-29,-64,-61,"FALSE"
17,-57,-41,28,-55,78,-66,-21,"TRUE"
-83,15,-88,13,-6,-26,43,-45,"TRUE"
-64,-95,-1,91,-61,-48,-14,74,"FALSE"
49,50,-27,64,-96,82,-5,66,"FALSE"
75,-84,45,-7,20,-13,-29,-26,"TRUE"
-82,66,32,41,-48,-75,-95,-10,"TRUE"
68,-88,100,60,-44,-25,50,-57,"TRUE"
-34,-12,-26,-6,-79,-91,-86,77,"FALSE"
-88,-75,84,89,-67,-97,34,-89,"FALSE"
66,52,-95,80,-86,93,91,-60,"FALSE"
32,92,97,-31,68,87,94,54,"FALSE"
45,52,-73,44,-3,3,8,81,"FALSE"
-95,63,-36,47,-36,67,77,-40,"TRUE"
29,5,-45,10,-80,37,-30,-83,"FALSE"
54,-2,13,26,-92,83,-64,86,"TRUE"
-44,-3,-40,76,0,-81,3,-32,"FALSE"
-96,-39,-97,68,-89,-47,-19,19,"FALSE"
49,80,-58,22,43,-59,-69,69,"FALSE"
9,-54,-26,50,-57,17,10,19,"TRUE"
-89,37,-44,63,-48,23,8,96,"TRUE"
-70,61,77,65,5,-46,96,74,"TRUE"
-45,-94,-73,59,75,98,-58,-48,"FALSE"
-28,-27,-32,-23,97,-91,-77,-43,"FALSE"
-73,-76,99,-36,-20,33,85,65,"FALSE"
54,-4,55,-62,20,66,37,98,"TRUE"
-46,-27,-22,-2,-70,51,-10,-87,"FALSE"
-5,-81,-15,-19,-33,-68,25,-44,"FALSE"
-76,71,5,-90,-60,0,47,91,"TRUE"
-39,54,5,-59,83,93,84,30,"TRUE"
-13,-62,-71,86,50,-65,8,83,"FALSE"
-27,82,-74,-20,66,-82,57,16,"TRUE"
82,-82,-96,49,-58,98,-91,-36,"TRUE"
-87,2,-72,-19,14,81,-10,60,"TRUE"
0,-5,-86,68,18,4,77,-54,"TRUE"
-78,-22,-76,49,75,85,94,-35,"FALSE"
41,-70,-36,82,68,-10,-96,-61,"TRUE"
-70,-87,-24,-24,-40,-45,-30,-86,"FALSE"
89,-37,-86,22,71,93,65,48,"TRUE"
-86,94,88,80,94,-36,79,-17,"TRUE"
10,71,27,-68,9,-91,-71,86,"FALSE"
11,46,0,-62,7,-54,-19,76,"FALSE"
6,-54,13,23,-1,63,53,31,"TRUE"
73,85,-59,17,-8,7,-59,82,"FALSE"
-47,37,-38,-87,-47,45,-37,-16,"TRUE"
26,-57,-10,-82,-89,-49,99,-91,"TRUE"
-16,-41,95,-86,-45,-78,-7,-15,"FALSE"
-94,-38,85,32,47,91,-23,19,"FALSE"
17,-21,-5,39,99,-8,-48,-92,"TRUE"
-95,66,-71,-22,60,74,10,-84,"TRUE"
26,-78,-70,-40,-6,19,8,63,"TRUE"
99,-63,83,83,90,-14,-77,-86,"TRUE"
31,4,41,70,-69,-28,-67,-21,"FALSE"
-56,-41,-1,-5,-69,-60,52,-83,"FALSE"
95,-9,-10,28,26,-17,21,-32,"TRUE"
7,-45,-97,-41,2,-38,84,-9,"TRUE"
32,-15,35,-70,13,4,-98,-12,"TRUE"
-74,-54,54,83,79,46,57,17,"FALSE"
64,86,62,-15,-56,-57,-97,57,"FALSE"
62,-83,-21,99,52,92,-89,80,"TRUE"
-20,23,91,67,-40,-56,69,-36,"TRUE"
-90,-45,74,88,31,-32,4,-93,"FALSE"
19,98,-4,84,-92,58,-69,96,"FALSE"
-61,21,43,55,-40,-85,-77,-3,"TRUE"
20,19,84,25,-97,4,-27,-98,"FALSE"
-37,22,-67,-31,-9,49,-52,-58,"TRUE"
35,-66,-61,38,72,70,87,40,"TRUE"
38,-84,10,75,80,-90,-28,94,"TRUE"
91,-8,-93,-2,74,11,59,-76,"TRUE"
-28,-51,-93,26,-43,-32,65,-79,"FALSE"
-33,62,-82,42,75,96,-42,-75,"TRUE"
23,-89,-26,71,34,89,1,64,"TRUE"
-50,-39,34,32,12,-62,-88,32,"FALSE"
-32,10,90,79,41,-22,23,-11,"TRUE"
37,-96,-96,-85,77,97,-26,-38,"TRUE"
-64,-27,77,90,1,-5,53,-65,"FALSE"
-27,68,-16,-90,-56,96,-18,-83,"TRUE"
43,-84,-91,30,-5,-16,74,-21,"TRUE"
-50,33,92,-1,-22,30,-33,39,"TRUE"
38,46,11,93,75,82,-43,47,"FALSE"
-60,43,77,-84,-33,92,-35,-89,"TRUE"
-53,-4,80,-59,-85,20,91,-45,"FALSE"
16,-30,-76,-69,-38,-27,3,42,"TRUE"
19,-77,15,26,68,62,39,63,"TRUE"
-63,91,-80,9,-55,-72,19,19,"TRUE"
81,-8,7,-3,10,-23,11,-88,"TRUE"
-22,-33,56,17,33,-63,-59,8,"FALSE"
97,28,-18,5,65,92,-73,-71,"FALSE"
4,30,-60,25,-64,29,-26,-25,"FALSE"
-47,62,44,-7,71,-84,98,-69,"TRUE"
-62,-88,61,71,-89,-29,63,-70,"FALSE"
-54,-52,42,67,32,-76,-50,36,"FALSE"
94,0,-8,14,77,51,71,50,"FALSE"
90,32,-69,44,63,48,70,13,"FALSE"
-79,19,78,47,79,-76,62,46,"TRUE"
67,26,9,-62,-72,72,-80,53,"FALSE"
44,-83,-90,-25,-13,-22,-76,62,"TRUE"
-92,-95,-82,40,-84,-6,-55,50,"FALSE"
82,-40,-41,-73,-41,-66,9,84,"TRUE"
-24,-70,-41,30,78,-79,54,-58,"FALSE"
77,94,26,-98,-20,-47,5,24,"FALSE"
-31,4,75,-25,8,59,51,60,"TRUE"
-96,92,62,-68,3,41,-28,-66,"TRUE"
-80,80,12,1,-25,8,-2,-55,"TRUE"
-52,28,54,12,34,46,52,86,"TRUE"
-79,-14,-49,25,45,21,-44,-48,"FALSE"
43,-51,56,-10,0,-73,-48,12,"TRUE"
-75,88,-17,48,68,90,21,-35,"TRUE"
96,11,-84,-7,85,-90,48,10,"FALSE"
-26,83,30,31,81,94,-71,85,"TRUE"
-17,29,13,-80,-51,60,-35,-57,"TRUE"
-56,-46,-5,83,30,87,35,-59,"FALSE"
28,-69,44,56,68,70,-95,5,"TRUE"
-34,-49,40,-94,-50,98,-62,-39,"FALSE"
38,-75,4,-90,-81,-64,73,-26,"TRUE"
-61,-67,-67,47,-33,88,-80,-13,"FALSE"
-21,-89,32,-23,-69,83,41,-36,"FALSE"
-99,-72,-39,-42,-93,-99,-73,-68,"FALSE"
-64,-52,31,-56,38,12,-68,29,"FALSE"
-67,71,76,-75,-51,-36,-51,-48,"TRUE"
-69,-8,-20,-94,0,-35,-91,22,"FALSE"
80,86,82,11,16,-21,89,-37,"FALSE"
-82,-14,1,63,99,-27,-50,99,"FALSE"
-61,68,97,10,87,-72,0,-46,"TRUE"
81,-73,6,71,0,53,65,-23,"TRUE"
71,98,-57,97,76,-58,26,19,"FALSE"
-4,-51,-98,16,68,12,94,17,"FALSE"
45,34,-1,-83,-16,-68,64,56,"FALSE"
-15,9,-28,10,2,-4,-40,-42,"TRUE"
99,30,-81,45,-44,-82,-63,-75,"FALSE"
36,80,33,-13,44,22,-78,37,"FALSE"
45,19,-42,63,65,-46,40,9,"FALSE"
-1,60,11,-65,7,0,-48,-72,"TRUE"
-50,59,-23,92,12,-72,52,71,"TRUE"
69,-8,-19,74,30,-53,73,93,"TRUE"
-62,-95,-31,41,70,-69,89,36,"FALSE"
98,-50,-34,83,67,-59,-7,-31,"TRUE"
64,23,-71,32,16,-99,-61,-3,"FALSE"
99,92,-94,-63,-75,-13,90,21,"FALSE"
-25,73,28,-99,45,-83,-53,-72,"TRUE"
66,12,10,2,-70,-86,-15,50,"FALSE"
-45,44,-31,35,-84,54,75,66,"TRUE"
-9,-19,-63,70,7,-34,-26,39,"FALSE"
0,26,-85,64,63,-37,20,-68,"TRUE"
0,12,65,-44,58,74,-31,-29,"TRUE"
-74,-52,-91,70,6,-92,88,27,"FALSE"
42,-93,-4,69,60,62,-86,-69,"TRUE"
-93,-9,-42,5,-91,-83,87,76,"FALSE"
-56,-32,-91,-32,17,0,42,-41,"FALSE"
76,-44,-84,42,56,-77,-57,76,"TRUE"
67,73,-76,56,51,96,2,-60,"FALSE"
89,12,3,71,33,29,35,-19,"FALSE"
83,-40,100,-87,10,68,23,88,"TRUE"
48,-54,51,-98,-15,-61,74,49,"TRUE"
3,48,-21,-80,-12,97,18,23,"FALSE"
-41,27,-96,-22,-68,-75,9,-29,"TRUE"
-75,38,20,67,-39,91,-30,64,"TRUE"
-48,-57,-56,-11,27,90,51,-71,"FALSE"
45,-30,-59,90,96,61,-26,96,"TRUE"
32,13,-34,-18,-64,2,-91,0,"FALSE"
-13,25,25,-25,86,80,-17,-42,"TRUE"
67,23,10,47,-23,73,56,-63,"FALSE"
15,22,7,86,-57,73,-9,-82,"FALSE"
4,73,32,91,-12,0,99,-28,"FALSE"
60,-14,-70,-88,37,51,15,95,"TRUE"
-62,6,-43,1,-63,-9,-10,-92,"TRUE"
-92,-59,-90,-34,14,95,-79,-68,"FALSE"
37,92,97,61,40,6,-91,48,"FALSE"
-63,61,33,83,80,5,-21,-55,"TRUE"
42,62,31,-94,-93,63,85,-64,"FALSE"
4,-57,53,-7,-18,-36,59,46,"TRUE"
-69,-20,-36,-35,-88,32,92,4,"FALSE"
7,-56,-49,68,-99,-87,-20,27,"TRUE"
47,-82,31,83,-22,87,-79,-62,"TRUE"
-9,88,-34,40,-21,-4,71,-72,"TRUE"
65,38,-8,-82,61,63,31,26,"FALSE"
-53,44,-70,-96,75,-17,98,-81,"TRUE"
78,-7,66,-11,64,90,19,42,"TRUE"
-20,29,-76,-17,-97,-81,54,15,"TRUE"
-8,69,54,29,-8,-64,9,24,"TRUE"
9,-75,44,-4,18,9,-31,35,"TRUE"
83,-85,32,68,10,-25,94,34,"TRUE"
-34,45,-51,-74,82,-45,3,99,"TRUE"
-70,10,-19,-26,30,-27,2,-38,"TRUE"
10,83,44,18,51,32,95,52,"FALSE"
6,-68,-45,-97,-94,56,-31,12,"TRUE"
-21,-20,86,-42,31,-39,-84,-91,"FALSE"
21,-54,20,-74,62,-37,55,77,"TRUE"
52,17,34,-86,-1,-97,55,-1,"FALSE"
87,-62,42,-86,27,26,-58,86,"TRUE"
5,-91,90,82,-45,66,70,67,"TRUE"
-70,43,-65,70,38,-40,-73,11,"TRUE"
-21,43,3,98,-47,31,46,-76,"TRUE"
88,-72,-97,5,-25,80,-18,-98,"TRUE"
-9,-50,-86,-69,84,48,-35,-76,"FALSE"
0,-81,-27,-81,-8,17,-7,27,"FALSE"
80,-35,-69,-26,80,66,-52,20,"TRUE"
39,67,74,-69,-13,-90,58,-42,"FALSE"
-33,44,12,-99,-78,-59,-42,-1,"TRUE"
-90,-12,33,17,0,5,-18,-93,"FALSE"
-12,88,-8,-60,-29,-63,46,97,"TRUE"
-19,-38,3,61,67,-91,-16,-89,"FALSE"
19,34,-41,74,7,97,26,10,"FALSE"
-67,1,-19,29,55,-28,9,56,"TRUE"
-88,34,34,79,-24,-98,-34,-12,"TRUE"
97,-86,97,3,-85,-52,-85,-54,"TRUE"
-40,32,-45,-41,-91,-23,-48,32,"TRUE"
-36,15,-58,66,42,66,-67,65,"TRUE"
63,-50,21,12,-87,-16,-90,-21,"TRUE"
-62,58,57,81,89,61,20,-59,"TRUE"
-22,-10,-6,4,8,-76,-83,83,"FALSE"
-46,55,57,-78,76,-62,61,45,"TRUE"
11,30,39,-64,-97,61,-75,15,"FALSE"
4,9,82,15,56,-78,-66,-60,"FALSE"
-21,12,23,76,46,56,29,6,"TRUE"
29,-69,-81,-68,-87,-7,56,46,"TRUE"
-36,94,47,83,-24,29,13,26,"TRUE"
-55,-5,-40,70,-74,-52,21,90,"FALSE"
51,4,-18,79,46,-8,-19,91,"FALSE"
-57,-75,68,0,93,-59,21,-83,"FALSE"
56,-1,44,-16,64,70,48,-8,"TRUE"
-70,78,93,-65,-57,-63,-1,47,"TRUE"
35,-50,-72,24,-45,-50,-1,-71,"TRUE"
13,-46,-96,69,-90,-64,33,79,"TRUE"
-82,47,54,7,3,-91,-49,97,"TRUE"
25,-4,-82,-25,-62,87,-3,-19,"TRUE"
42,54,-34,-59,-39,16,65,81,"FALSE"
-18,-32,44,-19,-67,-10,-24,-72,"FALSE"
93,79,39,-92,70,-91,-41,-97,"FALSE"
-54,57,37,-6,-56,7,-54,-13,"TRUE"
31,-52,-1,-85,-47,-72,99,88,"TRUE"
79,-88,93,65,22,8,-12,-92,"TRUE"
-82,49,75,-24,-99,16,21,73,"TRUE"
66,69,-99,97,-66,98,-25,-16,"FALSE"
91,-28,6,85,48,83,11,17,"TRUE"
9,97,58,-49,1,-55,-28,-92,"FALSE"
44,32,8,1,6,67,95,77,"FALSE"
45,-59,78,20,5,-62,80,7,"TRUE"
6,63,-53,7,-27,73,-15,51,"FALSE"
44,-91,6,-25,98,54,72,37,"TRUE"
17,19,-7,89,75,29,81,-86,"FALSE"
23,0,86,72,16,29,-73,40,"FALSE"
70,-60,52,-63,32,-94,-13,-55,"TRUE"
-41,4,86,-4,31,-39,-40,-94,"TRUE"
-11,-30,25,18,17,54,94,-69,"FALSE"
11,-51,-59,42,-21,-54,7,-73,"TRUE"
-67,49,-47,-84,-74,-77,86,-37,"TRUE"
92,10,-72,-8,7,-56,29,71,"FALSE"
-73,77,-21,-41,-74,63,30,-69,"TRUE"
15,84,-87,34,-16,10,55,-37,"FALSE"
51,62,-38,-15,30,-14,-68,75,"FALSE"
70,-59,-32,-36,-84,74,70,75,"TRUE"
-53,26,79,-54,95,-34,-81,-97,"TRUE"
49,49,78,-42,73,91,22,-39,"FALSE"
-31,-26,25,-38,79,-34,57,-5,"FALSE"
-87,58,16,-30,-63,60,92,-51,"TRUE"
-31,15,86,-96,-53,-7,10,-6,"TRUE"
-24,7,24,-28,88,57,-35,66,"TRUE"
31,59,-84,22,-98,0,0,72,"FALSE"
-27,-88,51,-81,81,-67,-15,98,"FALSE"
-39,8,79,85,-4,20,84,44,"TRUE"
71,31,-21,-5,-16,39,-41,4,"FALSE"
-93,42,-81,25,-22,17,51,-15,"TRUE"
-83,-22,98,66,-62,-95,-66,-22,"FALSE"
-22,61,-90,-27,-34,50,-65,54,"TRUE"
-77,-75,-17,-30,-1,77,-23,-4,"FALSE"
-78,-10,-93,-67,63,62,-58,-64,"FALSE"
-95,44,5,-64,99,43,-2,38,"TRUE"
7,70,-90,72,-68,95,-68,95,"FALSE"
41,-85,35,70,17,40,-56,-53,"TRUE"
90,1,69,-37,84,-64,49,78,"FALSE"
72,-52,43,-83,89,-34,19,34,"TRUE"
-32,15,-36,42,68,37,94,1,"TRUE"
-39,-4,-24,1,-18,-28,10,-66,"FALSE"
60,-84,35,-87,71,23,-62,0,"TRUE"
9,-77,41,86,-40,52,-32,-43,"TRUE"
-54,-9,-21,-31,-83,-26,23,-91,"FALSE"
-18,-70,-76,-15,-56,25,-67,-18,"FALSE"
3,90,-9,73,35,-23,-28,-53,"FALSE"
-79,32,-53,-87,52,27,89,-66,"TRUE"
18,-66,-13,-93,88,-45,-98,52,"TRUE"
100,26,72,99,-57,51,-78,-51,"FALSE"
88,-96,78,14,-6,-92,75,-29,"TRUE"
5,-32,-63,79,-94,-57,-73,-47,"TRUE"
-66,3,-46,99,-80,-4,-93,-61,"TRUE"
87,28,-89,46,-14,72,33,20,"FALSE"
62,42,-88,39,-76,-37,90,45,"FALSE"
-82,-11,44,-95,19,56,-99,-45,"FALSE"
21,84,94,-86,-90,87,14,94,"FALSE"
-45,-54,99,-91,-26,27,-44,-41,"FALSE"
-44,22,-51,85,97,-92,-28,72,"TRUE"
-92,-37,80,3,-54,82,20,57,"FALSE"
-62,33,22,96,-14,72,-39,-11,"TRUE"
11,7,29,55,-62,-14,-39,51,"FALSE"
89,29,57,-57,89,-12,15,-30,"FALSE"
-50,20,-32,-51,-20,-72,-76,-61,"TRUE"
68,99,-27,26,-19,62,52,74,"FALSE"
-51,44,75,-26,-61,-59,-46,-90,"TRUE"
-73,-3,47,-2,-76,-91,14,32,"FALSE"
67,37,86,12,-13,0,78,55,"FALSE"
85,-53,-53,-73,-96,60,-2,-24,"TRUE"
-67,82,7,-57,20,31,-69,50,"TRUE"
5,0,4,38,-93,15,-72,48,"FALSE"
60,81,-92,-27,10,-82,100,-33,"FALSE"
3,43,-88,88,-14,-85,34,10,"FALSE"
4,-87,-57,-83,-55,5,64,-68,"TRUE"
-48,-39,-41,-11,-32,-51,19,64,"FALSE"
57,67,-72,-92,-51,67,41,-61,"FALSE"
47,-24,-15,29,44,-82,58,-76,"TRUE"
74,-38,-75,-42,14,-78,-10,8,"TRUE"
94,-17,-90,-54,37,45,-48,74,"TRUE"
-39,26,84,-17,-52,57,-49,1,"TRUE"
-41,17,-40,41,-5,-27,11,52,"TRUE"
-89,93,60,59,-42,-94,-87,-86,"TRUE"
-89,-47,-42,-53,-29,-50,96,63,"FALSE"
-42,-19,-95,90,-1,-95,50,-21,"FALSE"
-88,75,-37,-38,0,-82,26,18,"TRUE"
59,8,98,-62,-59,5,33,-22,"FALSE"
75,65,-45,-77,18,25,11,-43,"FALSE"
67,100,-50,71,92,-3,-70,-68,"FALSE"
-53,87,-64,-5,74,97,-53,0,"TRUE"
79,-48,80,94,-34,-60,74,-26,"TRUE"
29,33,-69,-97,36,4,-30,-1,"FALSE"
29,49,63,98,87,-72,14,51,"FALSE"
-40,88,88,98,4,-90,29,-40,"TRUE"
-13,60,25,40,35,11,-8,-67,"TRUE"
77,63,-16,97,-49,39,-43,-12,"FALSE"
25,79,38,-69,36,27,-60,-70,"FALSE"
53,-89,-17,25,78,9,-93,13,"TRUE"
61,-87,-84,7,-82,31,-58,-47,"TRUE"
-36,90,-31,12,2,-62,17,-86,"TRUE"
84,-26,88,14,12,-52,39,-69,"TRUE"
86,-31,67,-66,-25,81,-96,53,"TRUE"
42,-75,-64,-90,-9,72,34,63,"TRUE"
80,-47,84,-58,-30,42,-24,-22,"TRUE"
-10,59,54,-90,-77,-47,-54,56,"TRUE"
5,-98,49,22,5,86,-55,32,"TRUE"
-56,82,23,36,-13,-83,73,-42,"TRUE"
67,-14,-44,27,60,-15,-6,42,"TRUE"
-39,28,-44,93,-22,6,84,-11,"TRUE"
-69,-15,-37,-63,0,93,99,30,"FALSE"
72,97,-21,-86,52,5,-95,53,"FALSE"
31,-51,-60,-35,18,-14,-26,80,"TRUE"
73,-43,-72,97,38,-42,17,28,"TRUE"
-39,-39,84,-93,-21,88,-37,-38,"FALSE"
-90,32,-82,62,63,34,-45,-4,"TRUE"
56,-47,-80,-93,77,-62,79,98,"TRUE"
47,25,-33,32,-64,47,-52,8,"FALSE"
91,-44,55,-88,-56,-26,40,-39,"TRUE"
57,75,-35,-39,68,-71,-84,-4,"FALSE"
8,26,15,83,-64,6,-8,-28,"FALSE"
17,-40,12,-19,77,-85,-64,60,"TRUE"
77,-40,-26,39,59,11,77,-17,"TRUE"
-29,-50,-64,76,92,62,-98,-23,"FALSE"
8,95,-50,97,78,-44,-9,-27,"FALSE"
41,-84,77,-48,94,-11,-11,86,"TRUE"
74,42,17,-12,-34,-72,-14,-29,"FALSE"
40,74,-25,8,-56,54,80,-53,"FALSE"
-49,65,65,48,32,-27,30,-36,"TRUE"
12,-55,-14,14,-78,11,-6,53,"TRUE"
28,4,35,0,-75,71,23,-15,"FALSE"
-98,-61,-62,86,45,90,44,43,"FALSE"
66,26,-79,-10,90,-5,99,33,"FALSE"
54,65,-71,13,80,-50,11,80,"FALSE"
90,-27,73,35,-54,27,-64,45,"TRUE"
-6,21,-39,-28,47,62,54,-49,"TRUE"
74,86,25,-94,2,-91,-25,87,"FALSE"
-52,99,64,-95,94,-60,-88,-64,"TRUE"
-76,-72,9,-30,28,-95,21,18,"FALSE"
-77,75,-23,74,-68,-22,-37,0,"TRUE"
-49,-59,-72,-58,20,94,-26,37,"FALSE"
94,-38,76,98,-20,71,77,-23,"TRUE"
79,-54,80,-40,98,-98,17,-23,"TRUE"
-27,2,93,-46,27,-44,22,-40,"TRUE"
68,-21,-40,29,30,-68,-41,60,"TRUE"
18,-12,41,-45,13,-55,4,62,"TRUE"
6,23,25,-65,-97,-1,-90,70,"FALSE"
68,35,72,-62,26,-23,-14,1,"FALSE"
-31,4,-79,-55,32,-10,74,-4,"TRUE"
-81,-13,-16,79,-8,38,-39,-32,"FALSE"
31,78,61,-74,-66,-42,43,-39,"FALSE"
24,-73,-43,64,82,-21,-27,-94,"TRUE"
-22,54,29,10,13,4,-40,48,"TRUE"
-1,66,-93,-57,33,54,63,-5,"TRUE"
-98,95,75,61,45,16,-94,95,"TRUE"
-21,70,-85,-10,-24,-39,-88,67,"TRUE"
68,24,57,-16,46,4,-23,55,"FALSE"
97,12,98,-19,73,-72,81,99,"FALSE"
82,-71,-80,-81,79,-12,-15,31,"TRUE"
-17,-82,63,-24,64,19,67,-49,"FALSE"
56,44,94,35,37,-8,-90,-77,"FALSE"
64,78,38,-78,35,-68,-40,-60,"FALSE"
16,-54,3,11,72,22,-95,-49,"TRUE"
-64,98,64,-33,-37,-2,-25,34,"TRUE"
61,91,74,-87,29,-73,15,13,"FALSE"
-24,87,-71,-28,-15,-34,66,-53,"TRUE"
-29,71,66,-86,-56,7,93,-8,"TRUE"
-23,-7,-40,-51,71,48,-98,32,"FALSE"
99,62,-66,-12,-11,-20,-41,-49,"FALSE"
46,97,48,65,-45,99,50,70,"FALSE"
17,87,-66,-3,36,-59,-32,-94,"FALSE"
-55,49,-62,10,-78,40,78,-52,"TRUE"
-45,17,35,-46,-78,-57,-80,-23,"TRUE"
49,-81,-74,-46,-6,-78,-49,-34,"TRUE"
20,-69,1,-19,46,-83,6,23,"TRUE"
98,-93,3,2,25,41,95,5,"TRUE"
52,-75,3,-43,91,-71,12,66,"TRUE"
-66,24,49,61,0,-6,-62,73,"TRUE"
-53,-50,8,-9,99,-44,-37,-73,"FALSE"
-86,13,-6,-18,-95,-45,-18,-27,"TRUE"
58,17,75,-29,53,9,-72,38,"FALSE"
5,14,-73,8,40,99,-29,95,"FALSE"
13,28,86,97,-31,-38,-80,69,"FALSE"
-26,20,99,-61,66,-23,-82,-88,"TRUE"
-84,36,64,29,-97,55,46,-49,"TRUE"
-6,41,21,-87,56,31,-62,-66,"TRUE"
34,-40,-63,-99,36,57,31,-62,"TRUE"
78,31,16,25,58,84,28,-37,"FALSE"
87,70,-59,-28,14,96,-60,73,"FALSE"
-96,-97,-24,59,0,-72,54,64,"FALSE"
-56,-55,-80,-41,63,79,-50,97,"FALSE"
14,7,39,14,54,-5,54,80,"FALSE"
-31,-41,-74,93,-97,-29,-74,74,"FALSE"
11,-50,0,-73,-46,81,29,95,"TRUE"
45,-3,54,56,-95,-7,3,27,"TRUE"
13,94,52,93,-39,-71,-8,12,"FALSE"
-94,-96,42,-46,-40,33,-81,97,"FALSE"
79,3,-57,-63,-71,-9,-52,93,"FALSE"
66,-7,37,-73,-40,70,-49,90,"TRUE"
0,46,-82,-59,18,-84,70,74,"TRUE"
-70,-16,-47,-59,-86,36,-56,-76,"FALSE"
-12,16,75,73,-56,17,29,-74,"TRUE"
72,33,-22,17,26,-64,-88,-92,"FALSE"
9,11,95,88,-26,96,4,-17,"FALSE"
11,79,-52,53,-18,-74,79,39,"FALSE"
61,47,16,88,-49,-26,-90,92,"FALSE"
-49,27,91,33,-73,-91,-44,-95,"TRUE"
-2,34,42,75,-34,10,-12,19,"TRUE"
82,-50,94,50,-25,-64,90,-21,"TRUE"
-22,46,-10,-88,43,-48,-90,-69,"TRUE"
21,1,52,-21,-50,-24,-77,77,"FALSE"
-17,5,17,-27,-73,34,-30,85,"TRUE"
-14,4,-54,-87,5,-5,71,-53,"TRUE"
-18,-37,8,-43,79,99,-42,-6,"FALSE"
-55,62,-22,45,76,-71,1,-16,"TRUE"
-46,-46,35,67,34,-79,87,-40,"FALSE"
-81,-48,88,63,-23,-57,-71,76,"FALSE"
65,71,-97,-61,36,-52,-84,74,"FALSE"
48,-97,-44,-9,96,90,66,87,"TRUE"
-45,-3,-82,-68,94,62,-93,-69,"FALSE"
-89,5,-15,91,22,-60,79,-72,"TRUE"
-42,-47,-92,97,-48,-20,17,49,"FALSE"
-31,3,23,-83,69,-21,-31,-9,"TRUE"
-86,18,34,-54,-76,-93,67,-86,"TRUE"
73,-20,-71,88,3,0,17,-93,"TRUE"
38,0,-30,85,56,-63,65,-93,"TRUE"
-7,-59,-79,-11,94,96,-72,-67,"FALSE"
74,-55,-38,81,-27,48,-22,-29,"TRUE"
24,30,-19,-41,51,65,58,6,"FALSE"
-45,57,-9,-81,68,-98,24,-18,"TRUE"
-83,9,86,-26,82,49,41,-53,"TRUE"
82,43,28,30,-31,-72,-64,39,"FALSE"
93,-11,85,99,-93,-63,-5,-17,"TRUE"
5,-19,-55,-75,-89,98,46,87,"TRUE"
12,-94,96,39,-76,39,-94,-66,"TRUE"
52,85,52,-33,-16,0,23,-58,"FALSE"
99,-23,-61,65,-90,17,23,30,"TRUE"
-2,-63,30,15,-22,-20,-26,47,"FALSE"
98,-33,76,51,52,-3,16,36,"TRUE"
4,-27,27,13,98,-82,78,-74,"TRUE"
7,-88,31,53,-98,-49,20,34,"TRUE"
-45,-25,-17,47,-39,45,48,-98,"FALSE"
65,80,-17,81,24,18,45,-47,"FALSE"
-26,61,-17,-80,-28,44,-43,39,"TRUE"
88,-55,-47,-90,98,-35,34,-79,"TRUE"
37,-77,52,-31,61,-37,24,-55,"TRUE"
-92,-66,-65,8,-64,73,-15,-81,"FALSE"
6,46,-16,50,-36,65,-53,96,"FALSE"
-75,73,36,78,-19,-49,-42,34,"TRUE"
